,Wavlength,Coefficient
218,5476.847656,-0.230169416
219,5476.833496,-0.17212941
220,5476.987793,-0.103170228
221,4891.445313,-0.225027128
222,4890.709961,-0.141500583
223,4891.458984,-0.115440164
224,5168.908691,0.221069881
225,5168.924316,0.206600255
226,5169.127441,-0.126673237
227,5169.111816,-0.115049708
228,5168.846191,-0.075505784
229,5168.830566,-0.052356299
230,5168.986816,-0.021138721
231,5367.419434,-0.216682973
232,5367.538574,-0.083788302
233,5367.523438,-0.042643718
234,6021.878418,-0.215653843
235,4496.903809,-0.215419002
236,4496.916016,-0.082787036
237,5782.133301,0.211626766
238,5781.75293,0.03252217
239,5018.394531,-0.211400086
240,5018.490234,-0.106944383
241,5018.53125,-0.050801526
242,4831.643066,0.208807998
243,4831.630371,0.050668009
244,6242.849121,0.206638936
245,6242.814453,0.197937712
246,6243.109375,0.120004668
247,6242.796875,0.098565111
248,6243.126465,0.071355787
249,6242.831543,0.043038778
250,4450.525391,-0.204054334
251,5205.97998,-0.203359348
252,5205.992676,-0.083842054
253,6449.720703,-0.202716275
254,6450.165039,0.016146929
255,6169.513184,-0.202466648
256,6168.991211,-0.190470031
257,6169.656738,-0.136180227
258,6168.973145,-0.122027743
259,6170.356445,0.017884925
260,4978.630371,-0.200868418
261,5232.902344,-0.199965846
262,5232.888184,-0.111986502
263,6470.1875,0.191047724
264,6470.310059,-0.071292104
265,6470.003418,-0.018451953
266,5394.695801,0.189949572
267,5394.679199,0.100599073
268,5394.712402,0.052312584
269,5019.984863,-0.189241789
270,5216.358887,-0.185270196
271,4571.106445,0.182671551
272,4571.937988,-0.182366092
273,4572.047852,-0.118288135
274,4572.023438,-0.117319741
275,4571.094238,0.086714145
276,4572.035645,-0.031236763
277,4571.925781,-0.009241278
278,6251.821289,0.182367712
279,6251.804688,0.076899093
280,6252.667969,-0.041331178
281,6252.634766,-0.020513552
282,5516.754883,0.178936448
283,5516.769531,0.132035005
284,5516.739746,0.121514781
285,6137.092285,-0.177308521
286,6136.706055,-0.045727144
287,4934.187988,-0.176388938
288,4934.132813,-0.143199494
289,4934.146484,-0.114804472
290,4934.173828,-0.049533535
291,4934.119141,-0.012177185
292,6335.428223,-0.17595097
293,6335.413086,-0.169493636
294,6335.246582,-0.167347996
295,6335.276855,-0.069125323
296,6335.231445,-0.025555085
297,6767.834473,-0.173696446
298,6767.855469,-0.134651428
299,4827.466309,0.170579373
300,4827.453613,0.152041479
301,4827.441406,0.039179685
302,5296.627441,-0.16818483
303,5296.601563,-0.053216871
304,5296.780273,-0.037552136
305,5603.028809,-0.166445476
306,5603.012695,-0.111406883
307,4417.760742,-0.165281638
308,4417.75,-0.027173823
309,5455.422363,-0.164493752
310,5455.54834,-0.04975866
311,5455.532715,-0.025982293
312,5501.54541,-0.159264135
313,5501.400391,-0.110413549
314,5501.416504,-0.072957231
315,5501.529297,-0.060097006
316,5501.384277,-0.057268163
317,5501.561523,-0.016446451
318,6213.503906,-0.157716512
319,6213.367188,-0.038957895
320,6213.523438,-0.033150768
321,6213.347656,-0.02493226
322,6213.542969,-0.021308319
323,5150.849121,0.157391781
324,5208.506348,-0.156831937
325,5208.152344,0.11025649
326,5208.249023,0.099390975
327,5208.538574,-0.052264116
328,5208.361816,-0.028393971
329,6370.364746,0.153519666
330,5875.712891,-0.151587268
331,5875.72998,-0.141713553
332,5383.467285,-0.15036007
333,6065.592285,-0.150145759
334,6064.635254,0.090684018
335,6065.414063,-0.076261865
336,5393.137207,-0.148444885
337,6254.333496,-0.148240057
338,5727.070313,0.147782926
339,5727.055176,0.046717424
340,5298.075195,-0.147634811
341,5298.340332,-0.111877706
342,5298.353027,-0.033515652
343,5298.20166,-0.020592622
344,6592.832031,-0.146770281
345,5950.689941,-0.145524821
346,5950.971191,-0.088602682
347,4553.981934,-0.144664696
348,4553.955078,-0.101875614
349,4554.09082,-0.081277872
350,4554.104492,-0.070145315
351,4554.118164,-0.018378983
352,6173.43457,-0.141977517
353,6173.416992,-0.042265302
354,6477.70166,-0.139278916
355,5348.256836,-0.138186572
356,5348.403809,-0.034935994
357,6191.651855,-0.138152351
358,6191.635742,-0.095926951
359,4345.192383,0.134578069
360,4345.999512,0.020340772
361,6651.799805,-0.133664378
362,5079.658203,-0.133336496
363,5079.689453,-0.043255441
364,6835.445313,-0.133220896
365,6743.140625,0.131273229
366,5615.574707,-0.131123865
367,6570.394043,-0.130741872
368,6570.355957,-0.100438933
369,4630.093262,-0.130205226
370,5127.412109,-0.129345428
371,5166.28418,0.129173863
372,5166.268555,0.036012861
373,5166.378906,-0.028709416
374,4517.977539,-0.129164704
375,4517.963867,-0.023271268
376,5473.992188,-0.126982497
377,5473.864258,-0.079907342
378,5473.978027,-0.045430554
379,5250.718262,-0.125413478
380,5250.146484,-0.09212866
381,5250.171875,-0.072606559
382,5250.286621,-0.027839444
383,5250.732422,-0.023620655
384,5250.592773,-0.020489251
385,5250.26123,-0.014530209
386,6599.112305,0.124873257
387,6599.128906,0.075105056
388,6580.157715,-0.124649389
389,4536.019531,-0.122774105
390,4535.540039,-0.075371522
391,5238.561035,0.121860092
392,5345.746582,-0.121327775
393,5345.730469,-0.073445382
394,6277.378418,0.120839197
395,6278.127441,0.032794501
396,4522.761719,-0.120642045
397,4522.694824,-0.0201955
398,4522.854492,-0.008434304
399,5470.594238,0.119605476
400,5470.666992,0.078508767
401,5471.37793,0.060284533
402,6468.260742,-0.11945313
403,4352.684082,-0.119397952
404,4352.880371,0.0010838
405,6168.468262,-0.117893913
406,5889.864746,-0.117859457
407,5562.748535,-0.117566551
408,5563.547363,-0.064121581
409,5563.5625,-0.024883751
410,5707.019531,0.115627754
411,4501.216797,-0.114329935
412,4501.20459,-0.040673113
413,4501.352051,-0.027579058
414,4867.534668,0.114093146
415,5853.708496,-0.112407301
416,5853.65332,-0.039177539
417,5853.63916,-0.013386071
418,5853.625488,-0.001294291
419,6522.739258,0.109753702
420,4985.599609,-0.109491083
421,4723.150879,0.108585668
422,5816.909668,0.10833658
423,5817.299316,0.08131977
424,6330.108398,0.1067647
425,6330.092773,0.053063193
426,5151.980469,-0.106289757
427,5028.097168,-0.105556718
428,4704.906738,-0.10360147
429,4704.893555,-0.01887478
430,6336.935059,-0.103429438
431,6480.014648,0.098793832
432,4667.541016,-0.097881878
433,4667.633301,-0.034533988
434,6040.871582,0.095240987
435,6320.390137,0.094929983
436,4563.724121,-0.094076874
437,4563.711426,-0.054268713
438,4563.82666,-0.051626485
439,4563.80127,-0.003164547
440,4482.187012,0.092935317
441,5184.03418,0.092668372
442,5184.063477,0.045456613
443,5183.148926,0.035809574
444,5183.933105,0.003057304
445,4681.969727,-0.09059041
446,6399.908203,-0.090135451
447,6399.923828,-0.084128156
448,6399.939453,-0.063626697
449,5876.758301,-0.090086161
450,6315.491699,0.089257213
451,6314.91748,-0.084196853
452,4823.595703,-0.089078335
453,4823.569824,-0.000280039
454,5662.565918,-0.08781857
455,5662.581543,-0.036120044
456,6010.800781,0.08681206
